iter	Passed	Remaining
358	9452	1307082
359	9478	1306986
360	9505	1307070
361	9530	1306905
362	9560	1307273
363	9585	1307109
364	9618	1307995
365	9645	1308010
366	9674	1308381
367	9700	1308327
368	9735	1309503
369	9762	1309432
370	9785	1309021
371	9809	1308659
372	9839	1309083
373	9870	1309662
374	9903	1310627
375	9934	1311179
376	9964	1311546
377	9995	1312202
378	10021	1312035
379	10075	1315674
380	10102	1315620
381	10125	1315231
382	10150	1314993
383	10174	1314690
384	10198	1314294
385	10221	1313870
386	10244	1313382
387	10267	1312884
388	10293	1312835
389	10323	1313163
390	10349	1313152
391	10373	1312714
392	10395	1312210
393	10419	1311832
394	10442	1311417
395	10466	1311062
396	10496	1311505
397	10531	1312463
398	10558	1312508
399	10585	1312632
400	10618	1313352
401	10649	1313907
402	10683	1314759
403	10714	1315318
404	10748	1316178
405	10781	1317004
406	10812	1317510
407	10841	1317824
408	10872	1318289
409	10900	1318483
410	10938	1319755
411	10974	1320834
412	11004	1321213
413	11034	1321692
414	11064	1322039
415	11104	1323619
416	11148	1325611
417	11183	1326604
418	11215	1327199
419	11246	1327626
420	11276	1327971
421	11307	1328403
422	11335	1328595
423	11367	1329139
424	11401	1329992
425	11437	1331034
426	11469	1331598
427	11499	1331936
428	11531	1332499
429	11563	1332985
430	11601	1334304
431	11645	1336188
432	11684	1337512
433	11718	1338363
434	11750	1338836
435	11784	1339624
436	11820	1340662
437	11859	1341942
438	11894	1342814
439	12011	1352907
440	12078	1357337
441	12128	1359910
442	12174	1361955
443	12246	1366816
444	12279	1367391
445	12323	1369226
446	12378	1372230
447	12419	1373713
448	12460	1375158
449	12499	1376363
450	12536	1377356
451	12575	1378528
452	12606	1378799
453	12645	1380026
454	12684	1381181
455	12725	1382609
456	12766	1384032
457	12810	1385675
458	12849	1386885
459	12882	1387353
460	12918	1388262
461	12954	1389076
462	12991	1389929
463	13022	1390222
464	13052	1390408
465	13082	1390626
466	13114	1390973
467	13156	1392432
468	13191	1393204
469	13227	1393963
470	13288	1397394
