iter	RMSE
593	0.7171771684
594	0.7171629722
595	0.7171514396
596	0.7171400255
597	0.7171285212
598	0.7171188788
599	0.7171066817
600	0.7170950699
601	0.7170822954
602	0.7170708859
603	0.7170580432
604	0.717048303
605	0.7170366507
606	0.7170270072
607	0.7170163213
608	0.7170041251
609	0.7169928969
610	0.7169836661
611	0.7169723293
612	0.7169625934
613	0.7169524122
614	0.7169357644
615	0.7169253369
616	0.7169148178
617	0.7169040385
618	0.7168920734
619	0.7168830019
620	0.7168722259
621	0.7168616928
622	0.7168507618
623	0.7168413725
624	0.7168268115
625	0.7168165021
626	0.7168029894
627	0.7167881227
628	0.7167753937
629	0.7167648159
630	0.7167533365
631	0.7167431373
632	0.7167321919
633	0.7167226195
634	0.716709303
635	0.7166959624
636	0.716685527
637	0.7166753277
638	0.7166643458
639	0.7166550213
640	0.7166420076
641	0.7166317683
642	0.7166198846
643	0.7166092171
644	0.7165958405
645	0.7165839179
646	0.71657383
647	0.7165638022
648	0.7165526691
649	0.7165421104
650	0.7165322708
651	0.7165209058
652	0.716508642
653	0.7164958251
654	0.7164846623
655	0.7164726902
656	0.7164627483
657	0.7164512786
658	0.7164418886
659	0.7164323028
660	0.7164224058
661	0.7164117017
662	0.7164016457
663	0.7163909241
664	0.7163791325
665	0.7163695443
666	0.7163587101
667	0.7163448865
668	0.7163338544
669	0.7163237128
670	0.7163130658
671	0.7163019502
672	0.7162915529
673	0.7162786877
674	0.7162701381
675	0.7162611133
676	0.7162498526
677	0.7162393648
678	0.7162269651
679	0.7162147813
680	0.7162050752
681	0.7161955565
682	0.7161862269
683	0.7161773476
684	0.7161678002
685	0.7161562216
686	0.7161451277
687	0.7161332032
688	0.7161233602
689	0.7161100021
690	0.7161013659
691	0.7160918228
692	0.7160803482
693	0.7160700677
694	0.7160600693
695	0.7160500539
696	0.7160389892
697	0.7160283805
698	0.7160203417
699	0.716010143
700	0.7160012694
701	0.7159918797
702	0.7159798121
703	0.7159709859
704	0.7159615123
705	0.7159538853
706	0.7159461204
707	0.715936292
708	0.7159278359
709	0.715917726
710	0.7159062221
711	0.7158974272
712	0.7158875557
713	0.7158777856
714	0.7158658632
715	0.7158564242
716	0.7158438635
717	0.7158347091
718	0.7158247191
719	0.715814663
720	0.7158020438
721	0.7157913293
722	0.7157793259
723	0.7157702168
724	0.7157604437
725	0.7157519238
726	0.7157433349
727	0.7157337044
728	0.7157236848
729	0.715715023
730	0.7157058538
731	0.7156939244
732	0.7156832077
733	0.7156716491
734	0.7156614468
735	0.7156500382
736	0.7156384912
737	0.7156283755
738	0.715618374
739	0.7156088687
740	0.7155992641
741	0.7155897229
742	0.7155816392
743	0.7155739673
744	0.7155647083
745	0.715555334
746	0.7155443177
747	0.715535816
748	0.7155276031
749	0.7155170408
750	0.7155071275
751	0.7154954605
752	0.7154870374
753	0.7154766387
754	0.7154683113
755	0.7154612995
756	0.7154529754
757	0.7154431509
758	0.7154334327
759	0.7154238531
760	0.7154148843
761	0.7154065379
762	0.7153953908
763	0.7153864202
764	0.7153775996
765	0.7153682184
766	0.7153589091
767	0.7153502441
768	0.7153383898
769	0.7153255996
770	0.7153143843
771	0.7153051139
772	0.7152972919
773	0.715287501
774	0.7152802521
775	0.7152718734
776	0.715261641
777	0.715252535
778	0.7152449367
779	0.7152362809
780	0.7152277787
781	0.7152186486
782	0.7152095771
783	0.7152007039
784	0.715194075
785	0.71518557
786	0.7151776962
787	0.7151678612
788	0.7151593411
789	0.7151519795
790	0.7151432756
791	0.7151351898
792	0.7151273493
793	0.7151183934
794	0.715109844
795	0.7150994883
796	0.7150893713
797	0.7150802974
798	0.7150697188
799	0.7150636248
800	0.7150540866
801	0.715045024
802	0.7150374835
803	0.7150277997
804	0.7150197697
805	0.7150105869
806	0.7150032303
807	0.7149922595
808	0.7149835177
809	0.7149743116
810	0.7149655753
811	0.7149565249
812	0.7149505643
813	0.7149430125
814	0.7149331569
815	0.7149225137
816	0.7149134689
817	0.7149048528
818	0.7148975255
819	0.7148893947
820	0.7148779843
821	0.7148702471
822	0.7148618967
823	0.714850309
824	0.7148407602
825	0.7148329284
826	0.7148247199
827	0.7148137549
828	0.7148048707
829	0.7147970573
830	0.7147885278
831	0.7147781857
832	0.7147707583
833	0.7147614712
834	0.7147524763
835	0.7147436922
836	0.7147369484
837	0.7147275993
838	0.7147204789
839	0.7147136836
840	0.7147051482
841	0.714698488
842	0.7146877044
843	0.7146772417
844	0.7146694391
845	0.7146596188
846	0.7146516244
847	0.7146432528
848	0.7146360545
849	0.7146251623
850	0.714616356
851	0.7146080351
852	0.7145982815
853	0.7145898172
854	0.714579857
855	0.7145712926
856	0.7145642268
857	0.7145566119
858	0.7145471461
859	0.7145389832
860	0.7145290812
861	0.7145203659
862	0.7145124371
863	0.7145047386
864	0.714496063
865	0.7144886849
866	0.7144812222
867	0.7144729945
868	0.7144649379
869	0.7144568993
870	0.7144487609
871	0.7144424206
872	0.7144353768
873	0.7144278383
874	0.7144194347
875	0.7144103331
876	0.7144006926
877	0.7143928563
878	0.7143842071
879	0.7143744091
880	0.7143664754
881	0.7143591824
882	0.7143503341
883	0.714342739
884	0.7143310862
885	0.7143226423
886	0.7143145204
887	0.7143067734
888	0.7142995437
889	0.7142905729
890	0.7142840245
891	0.7142753235
892	0.7142666871
893	0.7142587125
894	0.7142505433
895	0.714243212
896	0.7142364647
897	0.714228922
898	0.7142177577
899	0.7142108289
900	0.7142046252
901	0.7141945721
902	0.7141874303
903	0.7141792286
904	0.714171904
905	0.7141640526
906	0.7141569744
907	0.7141494496
908	0.714142609
909	0.7141339514
910	0.7141266936
911	0.7141192782
912	0.7141100751
913	0.7141032644
914	0.7140958058
915	0.7140879935
916	0.7140797519
917	0.7140711871
918	0.7140629523
919	0.7140545237
920	0.7140468004
921	0.7140400396
922	0.7140296973
923	0.7140199922
924	0.7140121912
925	0.7140042409
926	0.7139975706
927	0.7139897501
928	0.713982032
929	0.7139723281
930	0.7139654476
931	0.71395761
932	0.7139515808
933	0.7139426378
934	0.7139352053
935	0.7139276176
936	0.7139181392
937	0.7139111439
938	0.7139029485
939	0.7138953043
940	0.7138878697
941	0.7138777822
942	0.7138709977
943	0.7138635739
944	0.7138567016
945	0.7138490375
946	0.7138420974
947	0.7138327447
948	0.713824294
949	0.7138162316
950	0.7138102174
951	0.7138035512
952	0.7137961584
953	0.7137893434
954	0.7137828866
955	0.7137755963
956	0.7137689848
957	0.713762617
958	0.7137552714
959	0.7137483129
960	0.7137414114
961	0.7137339205
962	0.7137270238
963	0.7137205214
964	0.7137103275
965	0.7137009948
966	0.7136927422
967	0.7136854906
968	0.7136791025
969	0.7136711261
970	0.7136637622
971	0.7136555796
972	0.7136474548
973	0.7136385795
974	0.7136313269
975	0.713623516
976	0.7136157536
977	0.7136081275
978	0.7135992681
979	0.713590204
980	0.7135823442
981	0.7135758495
982	0.7135699035
983	0.7135630384
984	0.7135536634
985	0.7135459193
986	0.7135359752
987	0.713529434
988	0.7135219438
989	0.7135141072
990	0.7135089977
991	0.7135020149
992	0.713495194
993	0.7134882741
994	0.7134800016
995	0.713472841
996	0.7134630049
997	0.713456181
998	0.7134471754
999	0.7134395064
1000	0.7134323261
1001	0.7134242405
1002	0.713416691
1003	0.7134104211
1004	0.7134009621
1005	0.7133943001
1006	0.7133868247
1007	0.7133796609
1008	0.713372509
1009	0.7133655599
1010	0.713355573
1011	0.7133461433
1012	0.7133386009
1013	0.7133305946
1014	0.7133239789
1015	0.7133165425
1016	0.7133089562
1017	0.7133033052
1018	0.7132965582
1019	0.7132906093
1020	0.7132845184
1021	0.7132772926
1022	0.7132722583
1023	0.7132652266
1024	0.71325824
1025	0.7132519421
1026	0.713245318
1027	0.7132381168
1028	0.7132305456
1029	0.7132240052
1030	0.7132176991
1031	0.7132115815
1032	0.7132058274
1033	0.7131997615
1034	0.713193848
1035	0.7131872909
1036	0.7131814223
1037	0.7131730497
1038	0.713164072
1039	0.7131578284
1040	0.7131519787
1041	0.713145723
1042	0.7131391617
1043	0.7131322723
1044	0.7131260884
1045	0.7131198562
1046	0.7131132474
1047	0.7131065367
1048	0.7130994656
1049	0.7130932453
1050	0.7130878859
1051	0.7130812125
1052	0.7130740131
1053	0.7130671407
1054	0.7130583439
1055	0.7130515883
1056	0.7130449411
1057	0.7130378308
1058	0.7130305481
1059	0.7130238147
1060	0.7130186241
1061	0.7130121265
1062	0.7130028008
1063	0.7129958023
1064	0.7129905334
1065	0.7129844765
1066	0.7129783766
1067	0.7129695027
1068	0.7129635274
1069	0.7129579931
1070	0.7129516994
1071	0.7129457382
1072	0.712938734
1073	0.7129323069
1074	0.7129262687
1075	0.7129195325
1076	0.7129129259
1077	0.7129067096
1078	0.712898577
1079	0.7128913999
1080	0.7128830573
1081	0.7128755782
1082	0.7128678543
1083	0.7128615716
1084	0.7128543526
1085	0.7128466803
1086	0.7128375776
1087	0.712832618
1088	0.7128266742
1089	0.7128213639
1090	0.7128141859
1091	0.7128069732
1092	0.7128013163
1093	0.7127932845
1094	0.7127844885
1095	0.7127779544
1096	0.7127718403
1097	0.7127648225
1098	0.7127579473
1099	0.712751188
1100	0.7127452735
1101	0.7127395888
1102	0.7127313028
1103	0.7127249527
1104	0.7127161674
1105	0.712710947
1106	0.7127028644
1107	0.7126978213
1108	0.7126926497
1109	0.7126855172
1110	0.7126793856
1111	0.7126742446
1112	0.7126677566
1113	0.7126621575
1114	0.7126563939
1115	0.712649072
1116	0.7126442698
1117	0.7126363481
1118	0.7126302962
